"REF_DATE","GEO","DGUID","Selected livestock","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1926","Nova Scotia","2016A000212","Total pigs","Average number","Number","223","units","0","v62727546","4.8.3","","..","","","0"
"1926","Nova Scotia","2016A000212","Total sheep","Number of farms reporting","Number","223","units","0","v62727556","4.12.1","","..","","","0"
"1926","Nova Scotia","2016A000212","Total sheep","Number of animals","Number","223","units","0","v62727557","4.12.2","","..","","","0"
"1926","Nova Scotia","2016A000212","Total sheep","Average number","Number","223","units","0","v62727558","4.12.3","","..","","","0"
"1926","Nova Scotia","2016A000212","Horses and ponies","Number of farms reporting","Number","223","units","0","v62727568","4.16.1","","..","","","0"
"1926","Nova Scotia","2016A000212","Horses and ponies","Number of animals","Number","223","units","0","v62727569","4.16.2","","..","","","0"
"1926","Nova Scotia","2016A000212","Horses and ponies","Average number","Number","223","units","0","v62727570","4.16.3","","..","","","0"
"1926","Nova Scotia","2016A000212","Total hens and chickens","Number of animals","Number","223","units","0","v62727596","4.25.2","","..","","","0"
"1926","Nova Scotia","2016A000212","Total hens and chickens","Average number","Number","223","units","0","v62727597","4.25.3","","..","","","0"
"1926","New Brunswick","2016A000213","Total cattle","Number of animals","Number","223","units","0","v62727602","5.1.2","","..","","","0"
"1926","New Brunswick","2016A000213","Total cattle","Average number","Number","223","units","0","v62727603","5.1.3","","..","","","0"
"1926","New Brunswick","2016A000213","Total pigs","Number of farms reporting","Number","223","units","0","v62727622","5.8.1","","..","","","0"
"1926","New Brunswick","2016A000213","Total pigs","Number of animals","Number","223","units","0","v62727623","5.8.2","","..","","","0"
"1926","New Brunswick","2016A000213","Total pigs","Average number","Number","223","units","0","v62727624","5.8.3","","..","","","0"
"1926","New Brunswick","2016A000213","Total sheep","Number of farms reporting","Number","223","units","0","v62727634","5.12.1","","..","","","0"
"1926","New Brunswick","2016A000213","Total sheep","Number of animals","Number","223","units","0","v62727635","5.12.2","","..","","","0"
"1926","New Brunswick","2016A000213","Total sheep","Average number","Number","223","units","0","v62727636","5.12.3","","..","","","0"
"1926","New Brunswick","2016A000213","Horses and ponies","Number of farms reporting","Number","223","units","0","v62727646","5.16.1","","..","","","0"
"1926","New Brunswick","2016A000213","Horses and ponies","Number of animals","Number","223","units","0","v62727647","5.16.2","","..","","","0"
"1926","New Brunswick","2016A000213","Horses and ponies","Average number","Number","223","units","0","v62727648","5.16.3","","..","","","0"
"1926","New Brunswick","2016A000213","Total hens and chickens","Number of animals","Number","223","units","0","v62727674","5.25.2","","..","","","0"
"1926","New Brunswick","2016A000213","Total hens and chickens","Average number","Number","223","units","0","v62727675","5.25.3","","..","","","0"
"1926","Quebec","2016A000224","Total cattle","Number of animals","Number","223","units","0","v62727680","6.1.2","","..","","","0"
"1926","Quebec","2016A000224","Total cattle","Average number","Number","223","units","0","v62727681","6.1.3","","..","","","0"
"1926","Quebec","2016A000224","Total pigs","Number of farms reporting","Number","223","units","0","v62727700","6.8.1","","..","","","0"
"1926","Quebec","2016A000224","Total pigs","Number of animals","Number","223","units","0","v62727701","6.8.2","","..","","","0"
"1926","Quebec","2016A000224","Total pigs","Average number","Number","223","units","0","v62727702","6.8.3","","..","","","0"
"1926","Quebec","2016A000224","Total sheep","Number of farms reporting","Number","223","units","0","v62727712","6.12.1","","..","","","0"
"1926","Quebec","2016A000224","Total sheep","Number of animals","Number","223","units","0","v62727713","6.12.2","","..","","","0"
"1926","Quebec","2016A000224","Total sheep","Average number","Number","223","units","0","v62727714","6.12.3","","..","","","0"
"1926","Quebec","2016A000224","Horses and ponies","Number of farms reporting","Number","223","units","0","v62727724","6.16.1","","..","","","0"
"1926","Quebec","2016A000224","Horses and ponies","Number of animals","Number","223","units","0","v62727725","6.16.2","","..","","","0"
"1926","Quebec","2016A000224","Horses and ponies","Average number","Number","223","units","0","v62727726","6.16.3","","..","","","0"
"1926","Quebec","2016A000224","Total hens and chickens","Number of animals","Number","223","units","0","v62727752","6.25.2","","..","","","0"
"1926","Quebec","2016A000224","Total hens and chickens","Average number","Number","223","units","0","v62727753","6.25.3","","..","","","0"
"1926","Ontario","2016A000235","Total cattle","Number of animals","Number","223","units","0","v62727758","7.1.2","","..","","","0"
"1926","Ontario","2016A000235","Total cattle","Average number","Number","223","units","0","v62727759","7.1.3","","..","","","0"
"1926","Ontario","2016A000235","Total pigs","Number of farms reporting","Number","223","units","0","v62727778","7.8.1","","..","","","0"
"1926","Ontario","2016A000235","Total pigs","Number of animals","Number","223","units","0","v62727779","7.8.2","","..","","","0"
"1926","Ontario","2016A000235","Total pigs","Average number","Number","223","units","0","v62727780","7.8.3","","..","","","0"
"1926","Ontario","2016A000235","Total sheep","Number of farms reporting","Number","223","units","0","v62727790","7.12.1","","..","","","0"
"1926","Ontario","2016A000235","Total sheep","Number of animals","Number","223","units","0","v62727791","7.12.2","","..","","","0"
"1926","Ontario","2016A000235","Total sheep","Average number","Number","223","units","0","v62727792","7.12.3","","..","","","0"
"1926","Ontario","2016A000235","Horses and ponies","Number of farms reporting","Number","223","units","0","v62727802","7.16.1","","..","","","0"
"1926","Ontario","2016A000235","Horses and ponies","Number of animals","Number","223","units","0","v62727803","7.16.2","","..","","","0"
"1926","Ontario","2016A000235","Horses and ponies","Average number","Number","223","units","0","v62727804","7.16.3","","..","","","0"
"1926","Ontario","2016A000235","Total hens and chickens","Number of animals","Number","223","units","0","v62727830","7.25.2","","..","","","0"
"1926","Ontario","2016A000235","Total hens and chickens","Average number","Number","223","units","0","v62727831","7.25.3","","..","","","0"
"1926","Manitoba","2016A000246","Total cattle","Number of animals","Number","223","units","0","v62727836","8.1.2","","..","","","0"
"1926","Manitoba","2016A000246","Total cattle","Average number","Number","223","units","0","v62727837","8.1.3","","..","","","0"
"1926","Manitoba","2016A000246","Total pigs","Number of farms reporting","Number","223","units","0","v62727856","8.8.1","","..","","","0"
"1926","Manitoba","2016A000246","Total pigs","Number of animals","Number","223","units","0","v62727857","8.8.2","","..","","","0"
"1926","Manitoba","2016A000246","Total pigs","Average number","Number","223","units","0","v62727858","8.8.3","","..","","","0"
"1926","Manitoba","2016A000246","Total sheep","Number of farms reporting","Number","223","units","0","v62727868","8.12.1","","..","","","0"
"1926","Manitoba","2016A000246","Total sheep","Number of animals","Number","223","units","0","v62727869","8.12.2","","..","","","0"
"1926","Manitoba","2016A000246","Total sheep","Average number","Number","223","units","0","v62727870","8.12.3","","..","","","0"
"1926","Manitoba","2016A000246","Horses and ponies","Number of farms reporting","Number","223","units","0","v62727880","8.16.1","","..","","","0"
"1926","Manitoba","2016A000246","Horses and ponies","Number of animals","Number","223","units","0","v62727881","8.16.2","","..","","","0"
"1926","Manitoba","2016A000246","Horses and ponies","Average number","Number","223","units","0","v62727882","8.16.3","","..","","","0"
"1926","Manitoba","2016A000246","Total hens and chickens","Number of animals","Number","223","units","0","v62727908","8.25.2","","..","","","0"
"1926","Manitoba","2016A000246","Total hens and chickens","Average number","Number","223","units","0","v62727909","8.25.3","","..","","","0"
"1926","Saskatchewan","2016A000247","Total cattle","Number of animals","Number","223","units","0","v62727914","9.1.2","","..","","","0"
"1926","Saskatchewan","2016A000247","Total cattle","Average number","Number","223","units","0","v62727915","9.1.3","","..","","","0"
"1926","Saskatchewan","2016A000247","Total pigs","Number of farms reporting","Number","223","units","0","v62727934","9.8.1","","..","","","0"
"1926","Saskatchewan","2016A000247","Total pigs","Number of animals","Number","223","units","0","v62727935","9.8.2","","..","","","0"
"1926","Saskatchewan","2016A000247","Total pigs","Average number","Number","223","units","0","v62727936","9.8.3","","..","","","0"
"1926","Saskatchewan","2016A000247","Total sheep","Number of farms reporting","Number","223","units","0","v62727946","9.12.1","","..","","","0"
"1926","Saskatchewan","2016A000247","Total sheep","Number of animals","Number","223","units","0","v62727947","9.12.2","","..","","","0"
"1926","Saskatchewan","2016A000247","Total sheep","Average number","Number","223","units","0","v62727948","9.12.3","","..","","","0"
"1926","Saskatchewan","2016A000247","Horses and ponies","Number of farms reporting","Number","223","units","0","v62727958","9.16.1","","..","","","0"
"1926","Saskatchewan","2016A000247","Horses and ponies","Number of animals","Number","223","units","0","v62727959","9.16.2","","..","","","0"
"1926","Saskatchewan","2016A000247","Horses and ponies","Average number","Number","223","units","0","v62727960","9.16.3","","..","","","0"
"1926","Saskatchewan","2016A000247","Total hens and chickens","Number of animals","Number","223","units","0","v62727986","9.25.2","","..","","","0"
